comparison,fixed_factor,fixed_value,topology,stratum,outcome,false_to_false,false_to_true,true_to_false,true_to_true,discordant_n,exact_mcnemar_p
defense_effect_standard_to_defended,attack_condition,clean,hierarchical,all,utility,1,1,0,9,1,1.0
defense_effect_standard_to_defended,attack_condition,clean,hierarchical,all,final_unsafe,11,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,hierarchical,all,intermediate_propagation,11,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,hierarchical,primary_strict,utility,1,0,0,8,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,hierarchical,primary_strict,final_unsafe,9,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,hierarchical,primary_strict,intermediate_propagation,9,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,hierarchical,semantic_sensitivity,utility,0,1,0,1,1,1.0
defense_effect_standard_to_defended,attack_condition,clean,hierarchical,semantic_sensitivity,final_unsafe,2,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,hierarchical,semantic_sensitivity,intermediate_propagation,2,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,hierarchical,all,utility,1,1,0,9,1,1.0
defense_effect_standard_to_defended,attack_condition,compromised,hierarchical,all,final_unsafe,11,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,hierarchical,all,intermediate_propagation,11,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,hierarchical,primary_strict,utility,1,0,0,8,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,hierarchical,primary_strict,final_unsafe,9,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,hierarchical,primary_strict,intermediate_propagation,9,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,hierarchical,semantic_sensitivity,utility,0,1,0,1,1,1.0
defense_effect_standard_to_defended,attack_condition,compromised,hierarchical,semantic_sensitivity,final_unsafe,2,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,hierarchical,semantic_sensitivity,intermediate_propagation,2,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,hierarchical,all,utility,2,0,0,9,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,hierarchical,all,final_unsafe,11,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,hierarchical,all,intermediate_propagation,11,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,hierarchical,primary_strict,utility,1,0,0,8,0,1.0
